ISO3,CName,Date,Levels
ALB,Albania,2020-03-08,"{'k', 'p', 's', 'u'}"
AUT,Austria,2020-03-16,"{'u'}"
AUT,Austria,2020-03-18,"{'k', 'p', 's'}"
BEL,Belgium,2020-03-13,"{'p', 's'}"
CHE,Switzerland,2020-03-16,"{'k', 'p', 's', 'u'}"
CZE,Czechia,2020-03-11,"{'u', 'p', 's'}"
CZE,Czechia,2020-04-20,"{'u'}"
DEU,Germany,2020-03-17,"{'k', 'p', 's'}"
DNK,Denmark,2020-03-13,"{'u', 's'}"
DNK,Denmark,2020-03-16,"{'k', 'p'}"
ECU,Ecuador,2020-03-13,"{'p', 's'}"
ECU,Ecuador,2020-03-14,"{'u'}"
ESP,Spain,2020-03-17,"{'k', 'p', 's', 'u'}"
EST,Estonia,2020-03-16,"{'k', 'p', 's', 'u'}"
FIN,Finland,2020-03-18,"{'u', 'p', 's'}"
FRA,France,2020-03-16,"{'u', 'p', 'k', 's'}"
GHA,Ghana,2020-03-16,"{'k', 'p', 's', 'u'}"
GRC,Greece,2020-03-10,"{'k', 'p', 's', 'u'}"
HND,Honduras,2020-03-12,"{'k', 'p', 's', 'u'}"
HRV,Croatia,2020-03-13,"{'k', 'p', 's', 'u'}"
HUN,Hungary,2020-03-12,"{'u'}"
HUN,Hungary,2020-03-16,"{'p', 's'}"
IND,India,2020-03-16,"{'k', 'p', 's', 'u'}"
IRL,Ireland,2020-03-12,"{'k', 'p', 's', 'u'}"
ITA,Italy,2020-03-05,"{'k', 'p', 's', 'u'}"
JPN,Japan,2020-03-02,"{'p', 's'}"
KAZ,Kazakhstan,2020-04-06,"{'p', 's'}"
KWT,Kuwait,2020-03-01,"{'k', 'p', 's', 'u'}"
LTU,Lithuania,2020-03-16,"{'k', 'p', 's', 'u'}"
MEX,Mexico,2020-03-20,"{'k', 'p', 's', 'u'}"
MKD,North_Macedonia,2020-03-10,"{'k', 'p', 's', 'u'}"
MUS,Mauritius,2020-03-18,"{'k', 'p', 's', 'u'}"
MYS,Malaysia,2020-03-18,"{'k', 'p', 's', 'u'}"
NLD,Netherlands,2020-03-16,"{'k', 'p', 's'}"
NOR,Norway,2020-03-12,"{'u', 'p', 's'}"
NZL,New_Zealand,2020-03-25,"{'k', 'p', 's', 'u'}"
POL,Poland,2020-03-11,"{'k', 'p', 's', 'u'}"
PRT,Portugal,2020-03-12,"{'k', 'p', 's', 'u'}"
ROU,Romania,2020-03-11,"{'k', 'p', 's'}"
ROU,Romania,2020-05-15,"{'u'}"
SEN,Senegal,2020-03-16,"{'k', 'p', 's', 'u'}"
SGP,Singapore,2020-04-08,"{'k', 'p', 's'}"
SLV,El_Salvador,2020-03-11,"{'k', 'p', 's', 'u'}"
SRB,Serbia,2020-03-15,"{'k', 'p', 's', 'u'}"
SVK,Slovakia,2020-03-12,"{'k', 'p', 's', 'u'}"
SVN,Slovenia,2020-03-16,"{'k', 'p', 's', 'u'}"
SYR,Syria,2020-03-14,"{'k', 'p', 's', 'u'}"
TWN,Taiwan,2020-02-02,"{'k', 'p', 's'}"
TWN,Taiwan,2020-02-03,"{'u'}"
